
('5', '0'):98.58139038085938
('12', '0'):104.03380584716797
('11', '3'):5983.111328125

('12', '2'):11.569036483764648
('12', '1'):15.744946479797363
('11', '2'):21.99270248413086
('10', '2'):40.59965896606445
('10', '0'):46.82699966430664
('10', '1'):50.20927810668945
('7', '1'):66.05973815917969
('8', '1'):72.7576675415039
('7', '0'):73.93202209472656
('8', '0'):78.67910766601562
('11', '1'):99.52123260498047
('5', '0'):105.60428619384766
('12', '0'):111.17799377441406
('8', '2'):1591.789306640625
('11', '3'):6050.755859375

('12', '2'):14.580209732055664
('12', '1'):18.6297607421875
('11', '2'):22.72478675842285
('10', '2'):39.74030685424805
('10', '0'):44.7224006652832
('10', '1'):50.70195007324219
('7', '1'):64.26669311523438
('8', '0'):72.63823699951172
('7', '0'):73.79435729980469
('8', '1'):79.87462615966797
('11', '1'):95.52639770507812
('5', '0'):99.72265625
('12', '0'):101.44546508789062
('8', '2'):2211.506103515625
('11', '3'):6122.384765625

('12', '2'):12.368823051452637
('12', '1'):15.67361831665039
('11', '2'):23.9677791595459
('10', '2'):43.17009735107422
('10', '1'):49.31969451904297
('10', '0'):49.678794860839844
('7', '1'):73.0580062866211
('7', '0'):75.35873413085938
('8', '1'):80.12071228027344
('8', '0'):84.71340942382812
('11', '1'):103.29373168945312
('5', '0'):108.44225311279297
('12', '0'):121.6715087890625
('8', '2'):2670.708984375
('11', '3'):6213.89794921875

('12', '2'):8.784099578857422
('12', '1'):11.683256149291992
('11', '2'):20.37421989440918
('10', '2'):32.603294372558594
('10', '0'):36.54763412475586
('10', '1'):37.03588104248047
('7', '1'):54.54313659667969
('8', '1'):56.0293083190918
('7', '0'):57.034812927246094
('8', '0'):58.49795913696289
('11', '1'):77.87203979492188
('5', '0'):84.64122009277344
('12', '0'):87.17924499511719
('8', '2'):3078.22900390625
('11', '3'):6281.923828125

('12', '2'):9.89523696899414
('12', '1'):12.765754699707031
('11', '2'):20.316925048828125
('10', '2'):35.11594772338867
('10', '0'):35.26253128051758
('10', '1'):37.01890563964844
('8', '1'):53.312042236328125
('7', '1'):56.53125
('8', '0'):63.70002365112305
('7', '0'):66.58089447021484
('11', '1'):77.55717468261719
('12', '0'):80.28207397460938
('5', '0'):90.89169311523438
('8', '2'):3462.446533203125
('11', '3'):6359.1767578125

('12', '2'):11.05363941192627
('12', '1'):13.796829223632812
('11', '2'):22.490964889526367
('10', '2'):37.587730407714844
('10', '1'):40.93309020996094
('10', '0'):42.10066223144531
('7', '1'):60.75537872314453
('7', '0'):62.34889221191406
('8', '1'):63.88723373413086
('8', '0'):68.6551513671875
('11', '1'):82.28909301757812
('5', '0'):88.8347396850586
('12', '0'):98.00029754638672
('8', '2'):3746.096923828125
('11', '3'):6419.5908203125

('12', '2'):13.879465103149414
('12', '1'):17.733736038208008
('11', '2'):26.283767700195312
('10', '2'):39.154998779296875
('10', '1'):45.01288986206055
('10', '0'):46.45586395263672
('7', '1'):63.9341926574707
('7', '0'):71.47904205322266
('8', '1'):71.54698181152344
('8', '0'):78.25511932373047
('11', '1'):89.269287109375
('5', '0'):110.95927429199219
('12', '0'):112.3958969116211
('8', '2'):4030.78271484375
('11', '3'):6492.50244140625

('12', '2'):19.112632751464844
('12', '1'):24.461986541748047
('11', '2'):28.33511734008789
('10', '2'):47.72364044189453
('10', '0'):54.62256622314453
('10', '1'):55.31913757324219
('7', '1'):77.64957427978516
('8', '1'):83.28056335449219
('7', '0'):93.61434173583984
('8', '0'):93.69055938720703
('11', '1'):119.86012268066406
('12', '0'):128.8681182861328
('5', '0'):133.16493225097656
('8', '2'):4395.4033203125
('11', '3'):6572.84130859375

('12', '2'):13.208976745605469
('12', '1'):18.525569915771484
('11', '2'):20.79954719543457
('10', '2'):35.069313049316406
('10', '1'):37.66572189331055
('10', '0'):39.226348876953125
('8', '0'):60.0074348449707
('7', '1'):60.419639587402344
('8', '1'):61.469242095947266
